,username,sentiment,sentimentComm
371,urbanninja1982,27.147201946472023,0
372,harp1114,0,0
373,aglibdem,15.133819951338197,1
374,johnny_hotshot,-8.236009732360095,1
375,lemonysnick111,0,1
376,honey172008,0,1
377,edcara4,16.74067315490673,1
378,petedominick,0,1
379,pratiba_sk,21.599756690997573,0
380,celiafarber,-19.930048661800484,1
381,om_eye_goodness,0,1
382,tommousk,20.082116788321173,0
383,alice_shoulder,0,0
384,theduckwarrior,0,1
385,dinesh_chawla,15.547445255474457,0
386,streaky81,-18.429643146796433,1
387,eachus,3.8655717761557185,0
388,boggywood,0,0
389,lightchaser17,14.081508515815088,1
390,s_ahmed4,0,0
391,ahsanrazauk,-27.460462287104622,1
392,slatz_soapbox,13.923357664233578,0
393,kevbaile,5.428832116788328,1
394,lisa2oz,1.5875912408759127,0
395,sideflipz,-10.92153284671533,1
396,mamagraynor,-22.08941605839416,1
397,jaydaws3,0,0
398,ex2tory,17.82846715328467,0
399,sahilsameeroo7,13.41240875912409,0
400,smpackham,1.993395898505387,1
401,frandavi99,0.0,0
402,kikijean22,16.335158150851584,1
403,jennifer_grunig,-5.275750202757504,1
404,kenhicken,0,1
405,californianp,18.14476885644769,0
406,kinkermichards,0,0
407,arzakkhan,13.41240875912409,0
408,deals_bilities,-0.5626520681265212,1
409,jacquelinempor2,-20.02433090024331,1
410,botbutty,0,0
411,lori55777041,-14.796228710462286,1
412,davidclarknz,0,0
413,mebeandreaaolco,0,0
414,zilaaurangabad,0.0,0
415,grasscouch,-19.70802919708029,1
416,someotherperso3,0,0
417,65wz,0,0
418,jschmidt27,6.900851581508519,1
419,speedymc67,0,1
420,rarebirdalertuk,0,0
421,yarrowleonura,-23.451946472019465,1
422,y_ict,0,0
423,omahaspeak,0,1
424,tanjay81,-10.967153284671536,0
425,piyushgoyal,0,0
426,bobtrlin,-20.83181265206813,1
427,yale,0,1
428,jennifermesq,5.428832116788328,0
429,markthorsby1,0,1
430,ajkdonline,21.262165450121657,0
431,hugo_indalecio,0.0,0
432,mikealbertmd,-13.375912408759124,1
433,chromosomegrav1,0,0
434,matunos,11.947992700729927,1
435,britainelects,0,0
436,dennislinthicum,0.0,1
437,misssp00n,0,1
438,markassini,0,1
439,katherinesing14,5.842457420924582,1
440,cathy__yang,0,0
441,will_cherie,0,1
442,brau_matt,6.900851581508519,1
443,roxane72page,-27.25060827250608,1
444,pakistanirazi,9.020681265206811,0
445,billy_penn,0.0,0
446,arturozunigaj,0,0
447,qriouskate,-7.504562043795616,0
448,emoryrollins,0,1
449,ndmedassn,19.388686131386862,0
450,doqholliday,0,0
451,di77,0,0
452,whokenya,12.664233576642339,0
453,tejalvaghela15,0,0
454,keithmillsd7,-13.463098134630982,1
455,banibaba2,-21.538929440389296,1
456,rosemarychapman,1.5875912408759127,1
457,qnnduke,14.531630170316305,1
458,pina_insurance,0,1
459,erniepenley,-11.593673965936741,0
460,lifelighted,-5.958463677441777,1
461,alexinlaw,0.0,0
462,matsyngens,16.763990267639898,1
463,pharmacopsych,-0.3740875912408761,0
464,109psalm,0,0
465,ostrom_richard,-25.340632603406327,1
466,pamelaaranyos,-14.23661800486618,1
467,deborahrobb6,13.929440389294399,0
468,hturtfor,0,1
469,aspieaware,0,1
470,ruma1980,-8.984184914841848,0
471,shaftoflame,0.2022506082725073,0
472,docmom_tx,14.537712895377126,1
473,mssarahradz,0.0,0
474,newsbehindthen2,-10.875912408759124,0
475,donbo1,-15.51094890510949,0
476,grapeloverchi,0,1
477,cwru,19.02372262773723,0
478,charles_gaba,0,1
479,maxb1ack,-9.659367396593673,0
480,mum2lg,-8.421532846715326,1
481,jenrauls,0,0
482,svagdis,-5.1224148418491495,1
483,iadnam1,0,0
484,early168,0,0
485,closetextrovert,-14.963503649635035,1
486,doodlebug7779,-7.611516626115165,1
487,jackletaylor,0.0,0
488,uofuresearch,0,0
489,meaningofcare,0,0
490,tchivese,16.03710462287105,0
491,bbcpointswest,0,0
492,lindyprec,0,0
493,pickeringmedic,0,0
494,fatsfats1,-3.816909975669102,1
495,init4health,1.1922141119221443,1
496,theprojecttv,0,0
497,kranecaleb,0,1
498,gabyhinsliff,0,0
499,debbie_marney41,0,0
500,itsmsss,0,1
501,muggywei,6.674270072992705,0
502,gamerchick2889,20.082116788321173,0
503,macid3000,0,0
504,dilipsoman,0,0
505,jamesmallette10,12.788929440389296,1
506,opchemtrails,0,1
507,docsavagetju,0,1
508,earthadvonews,19.744525547445257,1
509,trumpangel45,0,1
510,dharmvirjangra9,0,0
511,change,0,1
512,compandalt,19.55520072992701,1
513,hardistybrad,0,1
514,leghnicki,0,0
515,selena_adera,13.640510948905117,1
516,winnyooms,8.871654501216554,0
517,gary_1956,10.358880778588812,0
518,abcnews,-15.003041362530414,1
519,usa_reevolution,0,1
520,drawandstrike,0,1
521,kevinlbedfordsr,0,0
522,veronikacaslav1,12.600364963503651,0
523,ber_oomen,0,0
524,schmangee,0,1
525,ukenreport,0.0,1
526,imabamaldy,0,0
527,prevention_now,0,1
528,ericmetz,0,1
529,rchavezm,0,1
530,viva__lala,0,1
531,tramline1,11.773114355231144,0
532,graemerodgers1,-2.423965936739659,1
533,dukecd36,-16.47506082725061,0
534,hayleym_p,0,0
535,pkban,0,0
536,finminindia,0,0
537,quicknigel1,0,0
538,maiamajumder,5.188564476885645,1
539,themja,5.397277980535279,0
540,jmoota,0.0,0
541,pollyh851,-14.47992700729927,1
542,drketanpatel6,18.632907542579083,0
543,1stgenyantifem,17.518248175182485,1
544,aude_pb,0,0
545,musingsyounggen,0,1
546,renee3147,0,0
547,kurteroy4yeg,0.0,1
548,nevadaeljefe,0,1
549,bmh1076,17.880170316301708,1
550,shoottokill7,0,0
551,aussiemumtwo,-0.8508211678832112,1
552,speshmagiclady,4.842862935928629,1
553,theofficenbc,0,1
554,kdka,-8.29075425790754,1
555,logicalmarcus,0,0
556,grouserobertson,9.914841849148424,0
557,donsmithshow2,0,0
558,ruthieebridges,0,1
559,daddingaround,0,1
560,tiredinor4now,0,0
561,takethattoxins,0,1
562,barvasfiend,12.542579075425792,1
563,cpny_news,11.22972424979725,0
564,nicktriggle,0,0
565,currenticalamo_,-23.84124087591241,1
566,pickpear,0,0
567,skepticalmutant,-7.878023472162585,1
568,dees_sturbed,0,1
569,alley_alley1,0,0
570,bclrobinson,0,1
571,humayun45267788,0,0
572,ajamesb39,0.0,1
573,_healthystarts,11.989051094890513,0
574,thelucastds,0,1
575,bennett4senate_,0,1
576,electroboyusa,0,0
577,proudfoot_karen,-17.606447688564476,0
578,anjanaomkashyap,0,0
579,emilydairybeef,0,0
580,shadowworld66,17.60948905109489,1
581,sande_alessi,0,1
582,deniseordway,8.053527980535279,0
583,hyperbolictelly,-19.604622871046228,1
584,metammp,-12.569951338199516,1
585,iowahawkblog,0,1
586,johnavlon,0,1
587,lamont_sharon,0,0
588,lincsimmsteam,12.807177615571781,0
589,pnasnews,9.020681265206811,1
590,trevorconrad18,-20.346715328467152,1
591,ms_articulate,-24.02676399026764,1
592,casunshinegal,0,1
593,tedperkins10,0,0
594,africahumanity,0,0
595,eileenchoffnes,-1.7731143552311437,0
596,jorichardskent,0,1
597,santhireads,0.8029197080291972,0
598,mileswafisher,0,1
599,tirsohcartoons,0,1
600,peterjrgen12,0,0
601,terrysimpson,-3.396864017301972,1
602,ebb_md,0,0
603,_waleedshahid,0,1
604,jasonsynaptic,0,1
605,komonews,3.1432481751824852,1
606,starpath,18.643552311435535,1
607,annie_dulaney,5.428832116788328,1
608,flashywun,0,1
609,country_giirl18,0,1
610,genflynn,0,1
611,autocorecturslf,0,1
612,uneektweet,-28.041362530413625,1
613,marlacaldwell,16.970802919708035,1
614,r0samond,12.97901459854014,1
615,heraldscotland,0.0,0
616,iaskmaie,0,1
617,thejploeger,-21.563260340632603,0
618,mcgheeianmcghee,0,0
619,666ismoney,0.0,1
620,pseud0ku,0,1
621,imetlucas,-1.7214111922141129,0
622,mixcalibur,16.368613138686136,1
623,elspharma,0,1
624,sophierymer,0,1
625,stewartsmith,0,1
626,mattnelko,0,0
627,ghosseinmaroun,0,1
628,petehullah,11.630170316301708,1
629,fitzinfo,0,1
630,voice_victoria,22.597323600973247,0
631,lavanyaballal,-7.58515815085158,0
632,anches,0,1
633,lisa_fletch,8.027676399026767,1
634,1humanagenda,4.263990267639905,0
635,angelfirebt,-12.521289537712896,1
636,drn_cancerpcp,12.241484184914846,1
637,judiikate,24.227493917274934,0
638,amoreprimusyoon,-18.21167883211679,0
639,benwteh,0.8008921330089223,1
640,vanillaman,0,0
641,kaykayjabari,0.0,1
642,boneszk,-13.4823600973236,1
643,scottmcgrew,0,1
644,preetanmolsing2,18.57968369829684,0
645,susanbe49316184,0,0
646,socialmissfit3,-28.424574209245744,0
647,banalintruder,0,1
648,kittytrill,-22.5,0
649,demosucker,-6.732055961070557,1
650,juliettetouma,28.67852798053528,0
651,helenebarroy,0,0
652,simonfletchergd,12.820863746958644,0
653,graciethour,0.0,0
654,upinthehills,23.068734793187346,1
655,elliejeanesther,0,0
656,sanjay_world,0,0
657,ifoj_blog,0,1
658,imtiazchandyo,0,0
659,joaniedbq4,7.243004866180051,0
660,elimodnar,0.0,0
661,georgeinstitute,0,0
662,diaz_renm,0,0
663,sbrazenor,2.3661800486618034,1
664,bmgfindia,16.985249391727493,0
665,zzman333,-6.864355231143552,1
666,rashtrapatibhvn,0,0
667,suzannerastrick,0,0
668,abarnes94,0,1
669,smaqcksaidso,0,1
670,bluesteinlinda,0,0
671,ferarceamare,-13.734793187347933,0
672,herrmannmj,15.003041362530418,0
673,ptiofficial,0,0
674,ixam_letsi,19.388686131386862,1
675,adeolusavage,-8.366788321167881,0
676,hemingwayrod,-21.12986618004866,1
677,makerereu,0,0
678,garnant,7.621654501216547,0
679,avioletcat,-3.8746958637469575,1
680,ndzirambi,0.0,0
681,msamandalb,0,0
682,babubasu,0,0
683,chandushae,0.0,0
684,mechanitom,0,1
685,katrina2878,0,0
686,siera143,0,1
687,gerbusjames,0,0
688,beckirobins,-6.502433090024333,1
689,markhvette08,0,0
690,1virgochk,-7.855839416058394,1
691,dantbarry,0,1
692,hawksheadgp,0,0
693,peri_gisele,-7.4695863746958615,0
694,madamcholetsw19,0,0
695,rsrobin1,-17.801094890510946,0
696,saludhn,0,0
697,a_hafeezshaikh,0,0
698,informedparent_,0.0,1
699,marsquint,0,1
700,cancernsw,0,0
701,boomtrump2020,5.792274939172749,1
702,drneilhudson,-24.577250608272507,0
703,msf_access,0,0
704,mikebonin,0,1
705,saidcolleen,0,0
706,tophealthclinic,7.378683427953504,0
707,kpillai12,27.609489051094897,0
708,mdandersonnews,17.83759124087591,0
709,darbydoll123,0,1
710,celtasia,0,0
711,miadhealthcare,11.630170316301708,0
712,lewiseverett3,-12.204987834549879,1
713,mohmv,0,0
714,3badels3,-19.3521897810219,0
715,amateuradam,0,1
716,primarycare4um,4.587388483373886,0
717,radiohumberside,0,0
718,maratosflier,0,1
719,ahriheartsu,0,1
720,gardezihumaira,0.0,0
721,davidroebuck3,-23.14476885644769,1
722,exsecular,0,0
723,kisumuhp_coe,0,0
724,toben41,0.0,1
725,eternalpiast,0,1
726,kwarrine,0,0
727,dougbookwriter2,0,0
728,wellnessquestpa,0,1
729,docmoschos,3.911192214111928,0
730,savitritvs,0,0
731,cgtn,0,0
732,pechilvr,0,0
733,_davelv,-12.759529602595293,1
734,melaniashair,0,1
735,nciresearchctr,-24.996958637469586,0
736,uoycws,0,0
737,carnsightcam,0,0
738,pmatzko,0,1
739,ucc231,-2.32968369829684,1
740,bguldenpfennig,-21.809610705596107,0
741,drrkumar92,27.11070559610706,0
742,prbytrllc,0,1
743,wenurses,6.935827250608277,0
744,lancasterpress,-10.358880778588809,1
745,esadisease,0,1
746,hasil1969,24.56204379562044,1
747,ravensspirit68,0,0
748,charlottewilto4,-20.68734793187348,0
749,briantakita,0.0,1
750,ljjustice4evr,0,1
751,srrezaie,0,1
752,lefonceobscure,0,1
753,mohcc,0,0
754,asim4,25.27448296836984,0
755,persist1050,0,1
756,annakennedy1,0,0
757,mtelles,0,1
758,deborahblum,-25.775547445255473,0
759,realsirtomjones,0,0
760,floridayys,0,1
761,wix_billy,-16.751824817518248,1
762,scepticalgeorge,0,1
763,hirajaleel,1.5875912408759127,0
764,alia_stearns_,0,1
765,mikeman1313,19.388686131386862,0
766,swheaton,-6.39142335766423,0
767,colmcq,0,0
768,mazziestarzz,12.241484184914846,0
769,srm128,0,1
770,maddowblog,0,1
771,karoolatas,0,1
772,alycenwilson,27.40115571776156,0
773,donjx,0,1
774,bethmcd63197663,0,1
775,robyninthestix,0,1
776,mfmsperling,0,1
777,ncds_paho,-24.20316301703163,0
778,nigncd,0,0
779,macshivers,0,0
780,mailonline,-19.820559610705594,1
781,machinestopper,7.1395985401459825,1
782,lander,3.6597729115977273,0
783,bairdjulia,0,0
784,calmatters,0,1
785,jmessycar,0.8029197080291972,1
786,theskinsensei,16.029501216545015,0
787,robinharrigill,0,1
788,gtmgq,0,0
789,lifelonglit,0,1
790,brexitmarcher55,-25.407542579075425,0
791,gjbpb,0,0
792,rglobalism,-16.00060827250608,1
793,robertjulm1,-10.112530413625304,1
794,cristyn_davies,10.358880778588812,0
795,prinzmagtulis,-11.593673965936741,0
796,dectivesamspade,-14.48905109489051,1
797,savvyspark,0,1
798,lsnitkoff,0,1
799,1katieorr,0,1
800,deirdriu,0,1
801,thegingerempire,9.695863746958636,0
802,rednorthuk,0,0
803,catalysmic,3.111313868613145,0
804,dhemnani,0,0
805,bizzowben,0,0
806,point_talking,15.748175182481752,0
807,francesbarnby,-20.99148418491484,1
808,greghuntmp,-4.207725060827251,0
809,physwiz,0,0
810,atomalty,0,0
811,sueleeok,0,0
812,lemuetleborgne,0,0
813,skepticspur,0,1
814,hoque_robiul,10.291970802919707,0
815,blahblahkc,18.04440389294404,1
816,euractiv,3.3196472019464736,0
817,markaliberto,0,1
818,jomasseria,0,0
819,jhweissmann,0,1
820,studenthealtha,0,0
821,cornwall70001,0,0
822,missbuffyh,0,1
823,judithlosborne,0,0
824,rip2ley,0,0
825,fritsfranssen,0,0
826,scarletsounder,0,1
827,shadyplantscom,0,0
828,kaitondelin,19.294403892944047,1
829,sneha28dec,16.03710462287105,0
830,mcdonnel6andrea,0,1
831,drprosper_,11.630170316301708,0
832,rotaryse1120,0,0
833,donholtmac,0,0
834,ihme_uw,0,0
835,oso1248,0,1
836,frankotron,0,1
837,thebeatwithari,0.0,1
838,rain4estwhitaka,0,1
839,conzulluznoc,2.3661800486618034,1
840,rosierhues,0,0
841,kvickers,3.4671532846715323,1
842,whiskeylaceblog,0,1
843,formerrepublic7,-8.29075425790754,0
844,jamaligle,-7.039233576642335,0
845,stevegas4,-1.7214111922141129,1
846,hervorrager,-28.847323600973237,1
847,rogermarksmen,0,0
848,paddyjack5,0,1
849,pterigoid,7.6350364963503665,0
850,jaysekulow,0,1
851,drcj_houldcroft,7.089416058394164,1
852,benner_denise,-2.340159502568259,1
853,astrovonbraun,0.0,0
854,captscorch,0,0
855,leafsmylove,-10.915450121654501,1
856,yackydoodledndy,0,0
857,lorenasgonzalez,0,1
858,vmsmith44,13.783454987834553,1
859,ingersolrobert,0,0
860,charlesmblow,0,0
861,benniehimself,20.38321167883212,1
862,kemperman,15.346715328467162,1
863,anarcho_src,-16.00060827250608,1
864,sgonnawin2020,0,1
865,sohaila30403681,13.41240875912409,0
866,memorie_holiday,0,1
867,marjalubeck,0,0
868,mjjseagull,0,1
869,lorrhayn,0,1
870,terrybadry,0,1
871,texastribune,-15.912408759124087,0
872,euhospitals,10.989963503649633,0
873,ezrafriedlander,0,1
874,fly_sistah,0,0
875,abuttenheim,0,0
876,cpjackson79,0,1
877,newcitytimes,2.3661800486618034,1
878,deasy_diane,-9.715936739659366,0
879,fondationbomoko,-29.42214111922141,0
880,valr52,-12.220194647201946,1
881,war_fighter21,0,1
882,tuxlinuxien,0,0
883,samh411,0.4592457420924596,0
884,tom_slater_,0,0
885,hbo,0,0
